Company,Area,Item,y2016,y2017,y2018,y2019
 Total of All Companies, U.S. Total,Residential Volume,4346588316,4413323531,4997554148,5015602829
 Total of All Companies, U.S. Total,Commercial Volume,3109584136,3164614639,3513953580,3512607054
 Total of All Companies, U.S. Total,Industrial Volume,7728687814,7943017862,8417299599,8421655135
 Total of All Companies, U.S. Total,Electric Power Volume,10313963862,9599490641,10918248238,11617902666
 Total of All Companies, U.S. Total,Vehicle Fuel Volume,42529698,47470122,48754162,50795277
 Total of All Companies, U.S. Total,Other Volume,0,41812,2394,36633
 Total of All Companies,Alabama,Residential Volume,28406890,26337821,34725671,30615524
 Total of All Companies,Alabama,Commercial Volume,23551547,22914953,26636067,24874649
 Total of All Companies,Alabama,Industrial Volume,192424022,196653706,219056707,217039988
 Total of All Companies,Alabama,Electric Power Volume,507727401,444201045,504210076,490120456
 Total of All Companies,Alabama,Vehicle Fuel Volume,144507,87523,80519,62192
 Total of All Companies,Alabama,Other Volume,0,,,
 Total of All Companies,Alaska,Residential Volume,17787189,20247149,18606913,17951286
 Total of All Companies,Alaska,Commercial Volume,15953130,15544245,14488511,14569840
 Total of All Companies,Alaska,Industrial Volume,4267797,4156011,5889529,15939643
 Total of All Companies,Alaska,Electric Power Volume,48548918,52939242,48936800,40114186
 Total of All Companies,Alaska,Vehicle Fuel Volume,4936,4683,4718,
 Total of All Companies,Arizona,Residential Volume,35120086,32821269,35124758,42084790
 Total of All Companies,Arizona,Commercial Volume,34009565,31212089,31812466,34686520
 Total of All Companies,Arizona,Industrial Volume,19765497,19250252,19168526,18625217
 Total of All Companies,Arizona,Electric Power Volume,288969719,264518040,334170405,411491183
 Total of All Companies,Arizona,Vehicle Fuel Volume,1405053,1541420,1608378,1536816
 Total of All Companies,Arkansas,Residential Volume,27129530,25703534,34978731,33718397
 Total of All Companies,Arkansas,Commercial Volume,45809601,47496254,55452624,55099970
 Total of All Companies,Arkansas,Industrial Volume,87876475,100255640,106691842,105279892
 Total of All Companies,Arkansas,Electric Power Volume,137837448,131631340,154444754,161176607
 Total of All Companies,Arkansas,Vehicle Fuel Volume,44406,43484,47152,55668
 Total of All Companies,California,Residential Volume,411828384,431005403,423914548,464671998
 Total of All Companies,California,Commercial Volume,236966785,237351872,248012028,255980729
 Total of All Companies,California,Industrial Volume,774503486,760660716,766414895,768188445
 Total of All Companies,California,Electric Power Volume,573743057,499314302,489783227,473222630
 Total of All Companies,California,Vehicle Fuel Volume,23871379,24687891,24329568,26257620
 Total of All Companies,Colorado,Residential Volume,121963196,118584554,128149955,142692423
 Total of All Companies,Colorado,Commercial Volume,54264512,52734807,55887382,61754908
 Total of All Companies,Colorado,Industrial Volume,80431719,84914474,88654010,91693462
 Total of All Companies,Colorado,Electric Power Volume,128714370,128121485,161765239,162242053
 Total of All Companies,Colorado,Vehicle Fuel Volume,786623,844260,1130572,903404
 Total of All Companies,Connecticut,Residential Volume,46045127,48431112,53100078,52227876
 Total of All Companies,Connecticut,Commercial Volume,50257771,52513473,58183733,57641696
 Total of All Companies,Connecticut,Industrial Volume,24271429,24557162,24562149,24519524
 Total of All Companies,Connecticut,Electric Power Volume,168996899,144749988,189975226,199525689
 Total of All Companies,Connecticut,Vehicle Fuel Volume,200885,212007,211611,200483
 Total of All Companies,Delaware,Residential Volume,9660112,9895695,12075671,11643336
 Total of All Companies,Delaware,Commercial Volume,12340376,13380260,15593126,15590305
 Total of All Companies,Delaware,Industrial Volume,31456717,29860230,30783444,33864970
 Total of All Companies,Delaware,Electric Power Volume,72421541,57791801,41158090,35227402
 Total of All Companies,Delaware,Vehicle Fuel Volume,424,538,648,625
 Total of All Companies,District of Columbia,Residential Volume,11378663,11903753,13111897,12064717
 Total of All Companies,District of Columbia,Commercial Volume,15647898,16039699,16621415,16125223
 Total of All Companies,District of Columbia,Vehicle Fuel Volume,380356,381721,426427,446031
 Total of All Companies,Florida,Residential Volume,15352105,14933974,17092229,16565170
 Total of All Companies,Florida,Commercial Volume,62525745,61313029,63805390,63354845
 Total of All Companies,Florida,Industrial Volume,103657694,103417260,108071020,119653521
 Total of All Companies,Florida,Electric Power Volume,1183752479,1229709677,1315848111,1377620033
 Total of All Companies,Florida,Vehicle Fuel Volume,553565,3643977,4175794,4901519
 Total of All Companies,Florida,Other Volume,0,,,
 Total of All Companies,Georgia,Residential Volume,115921784,111249371,133084733,123249441
 Total of All Companies,Georgia,Commercial Volume,51327204,49193053,56539211,53611071
 Total of All Companies,Georgia,Industrial Volume,152310511,150172174,158444954,155992413
 Total of All Companies,Georgia,Electric Power Volume,375893580,358418152,360432192,388490093
 Total of All Companies,Georgia,Vehicle Fuel Volume,1869194,1988179,1972624,1707514
 Total of All Companies,Georgia,Other Volume,0,,,
 Total of All Companies,Hawaii,Residential Volume,571000,572317,589853,576040
 Total of All Companies,Hawaii,Commercial Volume,2384270,2445907,2600652,2607641
 Total of All Companies,Hawaii,Industrial Volume,83145,85294,89769,93516
 Total of All Companies,Idaho,Residential Volume,24888948,28799365,27487178,30803129
 Total of All Companies,Idaho,Commercial Volume,17598258,19776649,19113222,20971300
 Total of All Companies,Idaho,Industrial Volume,34761088,35856016,34760563,38597933
 Total of All Companies,Idaho,Electric Power Volume,22307233,20753235,23075710,30857842
 Total of All Companies,Idaho,Vehicle Fuel Volume,53525,49500,54447,57315
 Total of All Companies,Illinois,Residential Volume,386590245,377510764,438217606,438020612
 Total of All Companies,Illinois,Commercial Volume,212481758,215914769,241973958,247280441
 Total of All Companies,Illinois,Industrial Volume,254682426,258867428,262261140,267360099
 Total of All Companies,Illinois,Electric Power Volume,150366294,127476590,147819414,186633443
 Total of All Companies,Illinois,Vehicle Fuel Volume,217088,183369,131199,98401
 Total of All Companies,Indiana,Residential Volume,125037853,123847368,144206680,142805818
 Total of All Companies,Indiana,Commercial Volume,74130635,75312315,86187546,88244959
 Total of All Companies,Indiana,Industrial Volume,370943677,379118205,419146401,426408105
 Total of All Companies,Indiana,Electric Power Volume,102726873,92718126,133181982,149797473
 Total of All Companies,Indiana,Vehicle Fuel Volume,266772,99284,8124,2275
 Total of All Companies,Indiana,Other Volume,,,0,
 Total of All Companies,Iowa,Residential Volume,61246939,60362278,70950032,71385018
 Total of All Companies,Iowa,Commercial Volume,49414275,49709671,56854000,57984763
 Total of All Companies,Iowa,Industrial Volume,189618217,241186619,256030490,249884997
 Total of All Companies,Iowa,Electric Power Volume,37360326,47061437,69019302,68063876
 Total of All Companies,Iowa,Vehicle Fuel Volume,44519,37990,41277,35592
 Total of All Companies,Iowa,Other Volume,,0,,
 Total of All Companies,Kansas,Residential Volume,54059540,54444960,67133895,68123230
 Total of All Companies,Kansas,Commercial Volume,34757396,34611909,40248808,41319868
 Total of All Companies,Kansas,Industrial Volume,124071316,127653268,132495168,131094090
 Total of All Companies,Kansas,Electric Power Volume,18997381,19767724,26809078,27201813
 Total of All Companies,Kansas,Vehicle Fuel Volume,318555,475292,663526,724489
 Total of All Companies,Kansas,Other Volume,,1774,0,0
 Total of All Companies,Kentucky,Residential Volume,45501760,43253136,51476206,48777085
 Total of All Companies,Kentucky,Commercial Volume,33519833,32796188,38471720,37395293
 Total of All Companies,Kentucky,Industrial Volume,115200722,113582349,117951365,121668752
 Total of All Companies,Kentucky,Electric Power Volume,66044911,80312233,114557144,116264057
 Total of All Companies,Kentucky,Vehicle Fuel Volume,31977,43217,79067,60044
 Total of All Companies,Louisiana,Residential Volume,31383203,29074199,37837540,36019179
 Total of All Companies,Louisiana,Commercial Volume,28930923,28321727,34847669,32979842
 Total of All Companies,Louisiana,Industrial Volume,1048751186,1092566957,1148070883,1145103885
 Total of All Companies,Louisiana,Electric Power Volume,284808496,217189438,242164353,294622352
 Total of All Companies,Louisiana,Vehicle Fuel Volume,349723,381683,415783,394257
 Total of All Companies,Louisiana,Other Volume,0,239,,0
 Total of All Companies,Maine,Residential Volume,2566196,2747750,3079296,3134098
 Total of All Companies,Maine,Commercial Volume,8558725,8924678,9586127,9919105
 Total of All Companies,Maine,Industrial Volume,18982951,17698417,19230912,21023812
 Total of All Companies,Maine,Electric Power Volume,22333652,13687132,13528958,9415345
 Total of All Companies,Maine,Vehicle Fuel Volume,118,,,
 Total of All Companies,Maryland,Residential Volume,76046899,75788535,86396821,81845087
 Total of All Companies,Maryland,Commercial Volume,70499864,72278551,77309722,76349341
 Total of All Companies,Maryland,Industrial Volume,15400296,15744031,16226953,18336060
 Total of All Companies,Maryland,Electric Power Volume,41596851,44270282,79141491,63083335
 Total of All Companies,Maryland,Vehicle Fuel Volume,365373,372101,360707,336329
 Total of All Companies,Massachusetts,Residential Volume,112082065,121180560,130296126,135115603
 Total of All Companies,Massachusetts,Commercial Volume,104850196,109469794,118779481,121517545
 Total of All Companies,Massachusetts,Industrial Volume,45721453,47004434,47523812,48770488
 Total of All Companies,Massachusetts,Electric Power Volume,166923488,169258638,141940003,117391068
 Total of All Companies,Massachusetts,Vehicle Fuel Volume,107230,111550,123296,117934
 Total of All Companies,Michigan,Residential Volume,294151558,299158267,326961539,332253830
 Total of All Companies,Michigan,Commercial Volume,158613147,162633902,180332546,181824523
 Total of All Companies,Michigan,Industrial Volume,172006038,170189165,176250415,173618223
 Total of All Companies,Michigan,Electric Power Volume,248894422,218188646,254331953,270324763
 Total of All Companies,Michigan,Vehicle Fuel Volume,6618,,,
 Total of All Companies,Minnesota,Residential Volume,117597646,123898080,141400211,144577376
 Total of All Companies,Minnesota,Commercial Volume,92590802,99756014,110025914,113428467
 Total of All Companies,Minnesota,Industrial Volume,162818228,165901221,161559772,162436972
 Total of All Companies,Minnesota,Electric Power Volume,62452560,49695125,60308168,86381513
 Total of All Companies,Minnesota,Vehicle Fuel Volume,411978,439274,443555,496652
 Total of All Companies,Mississippi,Residential Volume,20184653,18445679,24426424,22118228
 Total of All Companies,Mississippi,Commercial Volume,18135334,17643311,21039250,19934750
 Total of All Companies,Mississippi,Industrial Volume,116105018,128356353,134953223,132423189
 Total of All Companies,Mississippi,Electric Power Volume,358120622,326462703,351189190,335341628
 Total of All Companies,Mississippi,Vehicle Fuel Volume,24654,19378,37261,7247
 Total of All Companies,Mississippi,Other Volume,0,,,9415
 Total of All Companies,Missouri,Residential Volume,87264292,86865159,113937932,110611044
 Total of All Companies,Missouri,Commercial Volume,56967687,57902915,69381204,67929863
 Total of All Companies,Missouri,Industrial Volume,63629731,63157681,66744036,65451651
 Total of All Companies,Missouri,Electric Power Volume,49923224,44866371,56922206,60911771
 Total of All Companies,Missouri,Vehicle Fuel Volume,176894,160915,393243,375014
 Total of All Companies,Missouri,Other Volume,,0,0,
 Total of All Companies,Montana,Residential Volume,19100047,21481361,22618853,23932291
 Total of All Companies,Montana,Commercial Volume,21313716,23373546,26307546,27789660
 Total of All Companies,Montana,Industrial Volume,21232972,23392537,25244473,23689154
 Total of All Companies,Montana,Electric Power Volume,5178380,4576776,5031856,5431662
 Total of All Companies,Montana,Vehicle Fuel Volume,643,30,106,99
 Total of All Companies,Nebraska,Residential Volume,33049686,34068876,42379014,41638944
 Total of All Companies,Nebraska,Commercial Volume,26971215,29018187,35348871,35387643
 Total of All Companies,Nebraska,Industrial Volume,91021130,89520868,89516347,89696419
 Total of All Companies,Nebraska,Electric Power Volume,3508654,3959825,4588063,5589462
 Total of All Companies,Nebraska,Vehicle Fuel Volume,54579,138533,146064,135900
 Total of All Companies,Nevada,Residential Volume,39075040,40910642,41837082,47931223
 Total of All Companies,Nevada,Commercial Volume,31125263,32199710,32771840,35189811
 Total of All Companies,Nevada,Industrial Volume,18327309,19269196,20153182,20681321
 Total of All Companies,Nevada,Electric Power Volume,210725664,197337661,200175255,193464212
 Total of All Companies,Nevada,Vehicle Fuel Volume,1087149,1127675,1197578,1269930
 Total of All Companies,New Hampshire,Residential Volume,6861280,7331455,8134113,8034414
 Total of All Companies,New Hampshire,Commercial Volume,8509344,9077956,10129070,10134956
 Total of All Companies,New Hampshire,Industrial Volume,8454081,9498892,9915506,9834386
 Total of All Companies,New Hampshire,Electric Power Volume,33517236,30887938,26738723,28596280
 Total of All Companies,New Hampshire,Vehicle Fuel Volume,2158,1652,284,534
 Total of All Companies,New Jersey,Residential Volume,215510014,221608185,247584976,239055039
 Total of All Companies,New Jersey,Commercial Volume,153095807,148947821,167351377,155506871
 Total of All Companies,New Jersey,Industrial Volume,60909765,54297798,64167305,65061224
 Total of All Companies,New Jersey,Electric Power Volume,361138766,313334814,312602568,328904147
 Total of All Companies,New Jersey,Vehicle Fuel Volume,391439,396155,312526,285757
 Total of All Companies,New Mexico,Residential Volume,32576723,29992896,34437785,42384498
 Total of All Companies,New Mexico,Commercial Volume,24954080,23623645,25947695,29660919
 Total of All Companies,New Mexico,Industrial Volume,16108637,15411766,18769462,18361758
 Total of All Companies,New Mexico,Electric Power Volume,98881613,92498295,124035945,130818851
 Total of All Companies,New Mexico,Vehicle Fuel Volume,207389,208385,217976,215647
 Total of All Companies,New York,Residential Volume,412466847,432566223,485692726,473616568
 Total of All Companies,New York,Commercial Volume,302571576,310319283,330213082,322778088
 Total of All Companies,New York,Industrial Volume,80850052,82848073,91429630,90329655
 Total of All Companies,New York,Electric Power Volume,502279098,413420053,461684771,415734514
 Total of All Companies,New York,Vehicle Fuel Volume,887748,1000208,932450,925696
 Total of All Companies,North Carolina,Residential Volume,64547389,59933127,73261527,67947749
 Total of All Companies,North Carolina,Commercial Volume,55875536,53725576,57989024,57310175
 Total of All Companies,North Carolina,Industrial Volume,105504035,107373404,116776381,119113780
 Total of All Companies,North Carolina,Electric Power Volume,293602190,279852490,341075638,326282316
 Total of All Companies,North Carolina,Vehicle Fuel Volume,835743,957487,1329400,1527557
 Total of All Companies,North Dakota,Residential Volume,10058529,11014977,12680960,13123513
 Total of All Companies,North Dakota,Commercial Volume,11809597,12957008,14454477,15455008
 Total of All Companies,North Dakota,Industrial Volume,31231603,32127286,35071629,36093271
 Total of All Companies,North Dakota,Electric Power Volume,9946949,6273409,9587448,13245673
 Total of All Companies,North Dakota,Vehicle Fuel Volume,301,322,327,189
 Total of All Companies,Ohio,Residential Volume,255825675,258699483,301232343,290080259
 Total of All Companies,Ohio,Commercial Volume,152478299,156978810,178992221,177428376
 Total of All Companies,Ohio,Industrial Volume,275358022,277767346,309181373,298170690
 Total of All Companies,Ohio,Electric Power Volume,248081790,239262191,332306302,364874241
 Total of All Companies,Ohio,Vehicle Fuel Volume,449630,518678,482707,509570
 Total of All Companies,Ohio,Other Volume,,21110,2394,6043
 Total of All Companies,Oklahoma,Residential Volume,50572761,51068915,67340254,67890302
 Total of All Companies,Oklahoma,Commercial Volume,37063728,37833487,46960377,48790886
 Total of All Companies,Oklahoma,Industrial Volume,193703353,199576182,207901370,211167928
 Total of All Companies,Oklahoma,Electric Power Volume,249309471,218458168,306309349,318188570
 Total of All Companies,Oklahoma,Vehicle Fuel Volume,1582484,1571606,1583562,1526392
 Total of All Companies,Oklahoma,Other Volume,0,,,
 Total of All Companies,Oregon,Residential Volume,39390562,47840603,42624698,47927121
 Total of All Companies,Oregon,Commercial Volume,26667462,31763336,28997482,32379036
 Total of All Companies,Oregon,Industrial Volume,57760458,57849303,54267012,57008341
 Total of All Companies,Oregon,Electric Power Volume,103103708,98471682,119049505,138719821
 Total of All Companies,Oregon,Vehicle Fuel Volume,56562,60437,67744,49326
 Total of All Companies,Pennsylvania,Residential Volume,215511793,218733725,252721944,236630772
 Total of All Companies,Pennsylvania,Commercial Volume,142723725,145911942,165118531,161623613
 Total of All Companies,Pennsylvania,Industrial Volume,212253445,219027972,231734120,249025671
 Total of All Companies,Pennsylvania,Electric Power Volume,509739859,523370774,550798391,642845515
 Total of All Companies,Pennsylvania,Vehicle Fuel Volume,944346,1490041,1748981,1669453
 Total of All Companies,Pennsylvania,Other Volume,,,,0
 Total of All Companies,Rhode Island,Residential Volume,17199691,18421470,20522868,19891520
 Total of All Companies,Rhode Island,Commercial Volume,10743975,11338118,12731534,12415557
 Total of All Companies,Rhode Island,Industrial Volume,8473921,8551087,8816820,8818632
 Total of All Companies,Rhode Island,Electric Power Volume,30787702,37734430,43291489,40042214
 Total of All Companies,Rhode Island,Vehicle Fuel Volume,98278,101101,96794,94799
 Total of All Companies,South Carolina,Residential Volume,27561896,25538065,31994066,28871065
 Total of All Companies,South Carolina,Commercial Volume,23733561,23128422,25551333,24926175
 Total of All Companies,South Carolina,Industrial Volume,88147581,92197760,96484769,94906758
 Total of All Companies,South Carolina,Electric Power Volume,187357193,197119230,268683251,295319807
 Total of All Companies,South Carolina,Vehicle Fuel Volume,185590,172491,112576,116120
 Total of All Companies,South Dakota,Residential Volume,11662688,12145925,14279632,14808800
 Total of All Companies,South Dakota,Commercial Volume,10439080,10812660,12573274,13405110
 Total of All Companies,South Dakota,Industrial Volume,44570000,45641389,46972087,46014271
 Total of All Companies,South Dakota,Electric Power Volume,7566562,6134683,9370374,9366820
 Total of All Companies,Tennessee,Residential Volume,58923961,56660930,74802165,68686371
 Total of All Companies,Tennessee,Commercial Volume,49809119,49041779,58668920,56315104
 Total of All Companies,Tennessee,Industrial Volume,122953057,134555266,146888550,147532550
 Total of All Companies,Tennessee,Electric Power Volume,62996253,51575417,86103411,96029799
 Total of All Companies,Tennessee,Vehicle Fuel Volume,243776,281097,240103,296659
 Total of All Companies,Tennessee,Other Volume,,18689,,21175
 Total of All Companies,Texas,Residential Volume,175332339,164146780,227027780,228129403
 Total of All Companies,Texas,Commercial Volume,164306101,164782278,214173098,198029141
 Total of All Companies,Texas,Industrial Volume,1649758929,1678504142,1838402147,1799319394
 Total of All Companies,Texas,Electric Power Volume,1618344507,1487883055,1693441209,1934652855
 Total of All Companies,Texas,Vehicle Fuel Volume,1838000,1813702,1733538,1577791
 Total of All Companies,Texas,Other Volume,0,0,,
 Total of All Companies,Utah,Residential Volume,63928739,66700428,67415346,75938283
 Total of All Companies,Utah,Commercial Volume,39065838,41263681,42366752,47335593
 Total of All Companies,Utah,Industrial Volume,38567631,40007033,39935369,41347709
 Total of All Companies,Utah,Electric Power Volume,59218272,40744470,59912745,66841596
 Total of All Companies,Utah,Vehicle Fuel Volume,434572,348468,338311,316846
 Total of All Companies,Vermont,Residential Volume,3518031,3509464,4081124,4139395
 Total of All Companies,Vermont,Commercial Volume,6251308,6204607,7355786,7341364
 Total of All Companies,Vermont,Industrial Volume,2171566,2190979,2284372,2369894
 Total of All Companies,Vermont,Electric Power Volume,14246,11537,11146,12401
 Total of All Companies,Vermont,Vehicle Fuel Volume,817,,,
 Total of All Companies,Virginia,Residential Volume,77170353,76904298,89036411,81830787
 Total of All Companies,Virginia,Commercial Volume,67552609,68162467,74282432,71245165
 Total of All Companies,Virginia,Industrial Volume,88421658,94097943,96793751,100607708
 Total of All Companies,Virginia,Electric Power Volume,316315718,312480538,353856139,345753153
 Total of All Companies,Virginia,Vehicle Fuel Volume,889297,839550,842574,845724
 Total of All Companies,Virginia,Other Volume,0,,,
 Total of All Companies,Washington,Residential Volume,76320567,91027823,83567170,89967051
 Total of All Companies,Washington,Commercial Volume,51634136,60096071,57013824,61010119
 Total of All Companies,Washington,Industrial Volume,79275017,80656165,77303479,78489740
 Total of All Companies,Washington,Electric Power Volume,77565935,77677004,73968036,108119950
 Total of All Companies,Washington,Vehicle Fuel Volume,238450,199005,174740,166625
 Total of All Companies,West Virginia,Residential Volume,23209774,22384778,26255581,23849685
 Total of All Companies,West Virginia,Commercial Volume,22698253,22420924,25059013,23598819
 Total of All Companies,West Virginia,Industrial Volume,32281394,38358134,37373789,36569684
 Total of All Companies,West Virginia,Electric Power Volume,14855921,16551823,17515534,25302594
 Total of All Companies,West Virginia,Vehicle Fuel Volume,15037,13199,8879,7352
 Total of All Companies,Wisconsin,Residential Volume,125448721,131018306,144520820,151590900
 Total of All Companies,Wisconsin,Commercial Volume,88678672,90469589,100025655,101576448
 Total of All Companies,Wisconsin,Industrial Volume,144800865,154920240,164612721,162621640
 Total of All Companies,Wisconsin,Electric Power Volume,183752400,161983771,198800146,224488450
 Total of All Companies,Wisconsin,Vehicle Fuel Volume,381939,403524,431916,463708
 Total of All Companies,Wisconsin,Other Volume,,0,,
 Total of All Companies,Wyoming,Residential Volume,11999347,12552744,13142387,14056541
 Total of All Companies,Wyoming,Commercial Volume,13424899,13971702,13786594,12995960
 Total of All Companies,Wyoming,Industrial Volume,52810494,54512038,66271977,61754710
 Total of All Companies,Wyoming,Electric Power Volume,6714030,4787855,4597872,3757152
 Total of All Companies,Wyoming,Vehicle Fuel Volume,67419,17540,15530,16182
4 COUNTY ENERGY LLC,Kansas,Industrial Volume,459182,371022,434854,428262
5M GAS LLC,Texas,Commercial Volume,7073,20561,24063,24206
5P GAS PIPELINE CO,Texas,Industrial Volume,210830,191320,270462,310334
ABBYVILLE CITY OF,Kansas,Residential Volume,2770,2615,3034,3215
ABBYVILLE CITY OF,Kansas,Commercial Volume,1314,488,602,476
ABBYVILLE CITY OF,Kansas,Industrial Volume,1,2,212,224
ABITA SPRINGS NATURAL GAS CO,Louisiana,Residential Volume,25953,24140,30296,28277
ABITA SPRINGS NATURAL GAS CO,Louisiana,Commercial Volume,44873,34669,33146,6383
ABITA SPRINGS NATURAL GAS CO,Louisiana,Industrial Volume,,,,24726
ACADIAN GAS P L SYS,Louisiana,Commercial Volume,2039611,1778161,2032347,2041185
ACADIAN GAS P L SYS,Louisiana,Industrial Volume,102560699,137480878,132976899,190587697
ACADIAN GAS P L SYS,Louisiana,Electric Power Volume,,3833055,4660601,8239828
ADAIRSVILLE NAT GAS SYS,Georgia,Residential Volume,40103,36255,47330,41349
ADAIRSVILLE NAT GAS SYS,Georgia,Commercial Volume,58229,54315,67415,52601
ADAIRSVILLE NAT GAS SYS,Georgia,Industrial Volume,433167,583110,645717,773206
ADAMSVILLE CITY OF,Tennessee,Residential Volume,46009,44709,60434,59802
ADAMSVILLE CITY OF,Tennessee,Commercial Volume,18731,18535,26943,25844
ADAMSVILLE CITY OF,Tennessee,Industrial Volume,7767,9610,10716,9583
ADAMSVILLE CITY OF,Tennessee,Vehicle Fuel Volume,375,,,
ADEL CITY OF,Georgia,Residential Volume,11254,12317,12621,10473
ADEL CITY OF,Georgia,Commercial Volume,28822,30682,45476,72218
ADEL CITY OF,Georgia,Industrial Volume,90830,87021,85137,84274
AETHON UNITED PIPELINE LP,Louisiana,Industrial Volume,5271381,5929237,7122440,9029027
AFTON PUBLIC WORKS AUTHORITY,Oklahoma,Residential Volume,11591,13994,15729,13844
AFTON PUBLIC WORKS AUTHORITY,Oklahoma,Commercial Volume,6060,7386,7734,7472
AFTON PUBLIC WORKS AUTHORITY,Oklahoma,Industrial Volume,14118,17492,9442,
AGRINATURAL GAS LLC,Minnesota,Residential Volume,,,54153,53843
AGRINATURAL GAS LLC,Minnesota,Commercial Volume,,,57383,53577
AGRINATURAL GAS LLC,Minnesota,Industrial Volume,,,1853694,1656506
AGUILAR TOWN OF,Colorado,Residential Volume,12431,15309,16989,19242
AGUILAR TOWN OF,Colorado,Commercial Volume,9637,5582,7682,5788
AJAX P L CO,West Virginia,Commercial Volume,,11840,12830,10009
ALABAMA GAS CORP,Alabama,Residential Volume,16282030,15117903,20132239,17401038
ALABAMA GAS CORP,Alabama,Commercial Volume,12332531,12156436,13862205,12801381
ALABAMA GAS CORP,Alabama,Industrial Volume,42688758,43841903,48039630,49176527
ALABAMA GAS CORP,Alabama,Electric Power Volume,18013412,18739894,23020960,26308447
ALABAMA GAS CORP,Alabama,Vehicle Fuel Volume,28729,5892,4172,3195
ALBANY MUN GAS SYS,Missouri,Residential Volume,46302,45037,58012,59911
ALBANY MUN GAS SYS,Missouri,Commercial Volume,19820,19978,25267,37965
ALBANY MUN GAS SYS,Missouri,Industrial Volume,3531,6157,26959,33771
ALBANY WTR GAS LT COMM,Georgia,Residential Volume,281935,224474,304618,274027
ALBANY WTR GAS LT COMM,Georgia,Commercial Volume,376502,377967,447534,484080
ALBANY WTR GAS LT COMM,Georgia,Industrial Volume,4210896,4525053,4848197,4465404
ALEDO CITY OF,Illinois,Residential Volume,109639,110664,126889,129331
ALEDO CITY OF,Illinois,Commercial Volume,75744,79596,87573,86656
ALEDO CITY OF,Illinois,Industrial Volume,7983,8907,10403,8110
ALEXANDER CITY MUN GAS CO,Alabama,Residential Volume,91412,85130,102240,86125
ALEXANDER CITY MUN GAS CO,Alabama,Commercial Volume,124131,132758,149340,146054
ALEXANDRIA CITY OF GAS DEPT,Louisiana,Residential Volume,688616,597822,665866,676115
ALEXANDRIA CITY OF GAS DEPT,Louisiana,Commercial Volume,410889,386898,419310,427836
ALEXANDRIA CITY OF GAS DEPT,Louisiana,Industrial Volume,420072,400700,446710,527166
ALGONQUIN GAS TRANSMISSION COMPANY,Connecticut,Industrial Volume,315144,316689,335062,322544
ALGONQUIN GAS TRANSMISSION COMPANY,Connecticut,Electric Power Volume,70505934,65890584,83694693,82637839
ALGONQUIN GAS TRANSMISSION COMPANY,Massachusetts,Industrial Volume,557700,639498,166938,71
ALGONQUIN GAS TRANSMISSION COMPANY,Massachusetts,Electric Power Volume,58295644,61903008,57514748,58167487
ALGONQUIN GAS TRANSMISSION COMPANY,Rhode Island,Electric Power Volume,8331772,12663582,18812270,14129009
ALLERTON GAS CO,Iowa,Residential Volume,12937,11724,14444,14591
ALLERTON GAS CO,Iowa,Commercial Volume,2822,2799,3286,4026
ALLERTON GAS CO,Iowa,Industrial Volume,181889,182358,168037,173988
ALLIANCE PIPELINE LP,Iowa,Industrial Volume,2441291,2354280,2311519,1896234
ALLIANCE PIPELINE LP,North Dakota,Industrial Volume,3221355,3140106,3330675,3438407
ALMA CITY OF,Kansas,Residential Volume,23304,22858,30830,30163
ALMA CITY OF,Kansas,Commercial Volume,11282,11500,15970,15131
ALMA CITY OF,Kansas,Industrial Volume,23876,24191,26448,24019
ALMA NAT GAS CO CITY OF,Nebraska,Residential Volume,24527,23595,26945,27587
ALMA NAT GAS CO CITY OF,Nebraska,Commercial Volume,20023,19087,20938,23175
ALPINE NATURAL GAS INC,California,Residential Volume,55428,62364,63624,68327
ALPINE NATURAL GAS INC,California,Commercial Volume,2231,2427,2111,2087
ALTAMONT CITY OF,Kansas,Residential Volume,36323,33526,40957,36299
ALTAMONT CITY OF,Kansas,Commercial Volume,,2485,2937,9753
ALTO CITY OF,Texas,Residential Volume,23814,16564,23303,19083
ALTO CITY OF,Texas,Commercial Volume,17128,17564,24744,26838
ALTON MUNICIPAL UTILITIES,Iowa,Residential Volume,25004,25045,31072,32309
ALTON MUNICIPAL UTILITIES,Iowa,Commercial Volume,11502,10283,12809,15721
ALTON MUNICIPAL UTILITIES,Iowa,Industrial Volume,33471,32564,32599,51435
AMEREN ILLINOIS,Illinois,Residential Volume,50951700,48665593,58593890,58435138
AMEREN ILLINOIS,Illinois,Commercial Volume,40197789,41831201,48397058,48996180
AMEREN ILLINOIS,Illinois,Industrial Volume,61087191,61772893,61785114,61474657
AMEREN ILLINOIS,Illinois,Electric Power Volume,10331804,10549738,10667477,11007082
AMEREN MISSOURI,Missouri,Residential Volume,6122956,6058924,7604915,7620253
AMEREN MISSOURI,Missouri,Commercial Volume,5498423,5726008,6920292,7009160
AMEREN MISSOURI,Missouri,Industrial Volume,3596861,3626030,3838153,3997737
AMEREN MISSOURI,Missouri,Electric Power Volume,1870651,1928717,2577083,2541139
AMERICAN ENERGIES GAS SERVICES LLC,Kansas,Residential Volume,10271,10065,13307,13071
AMERICAN ENERGIES GAS SERVICES LLC,Kansas,Industrial Volume,17694,20052,19177,19730
AMERICAN MIDSTREAM ALA INTRASTATE,Alabama,Industrial Volume,237888,251377,11506657,7767709
AMERICAN MIDSTREAM BAMAGAS LLC,Alabama,Electric Power Volume,50235997,45945766,54594984,42138672
